substituent,Name,Smiles_Pattern,Smarts_Pattern,Sigma_m,Sigma_P,F_b,R_c
"3,4-N=CHNH-",-0.15,-0.15,-0.10,-0.05
N(0)=NCONH2,0.59,0.63,0.56,0.07
och2o-,-0.16,-0.16,-0.11,-0.05
Me,-0.07,-0.17,0.01,-0.18
ch2SO2r,0.15,0.17,0.16,0.01
SiMeCl2,0.31,0.39,0.29,0.10
SiMeF2,0.29,0.23,0.32,-0.09
HgMe,0.43,0.10,(0.55),(-0.45)
NHch2SO3,-0.10,-0.57,0.12,-0.69
NHcoNH2,-0.03,-0.24,0.09,-0.33
N(Me)N02,0.49,0.61,0.43,0.18
NHCSNHj,0.22,0.16,0.26,-0.10
OMe,0.12,-0.27,0.29,-0.56
CH2OH,0.00,0.00,0.03,-0.03
SOMe,0.52,0.49,0.52,-0.03
S(OMe),0.21,0.17,0.24,-0.07
OS(=0)CH3,0.44,0.45,0.43,0.02
S(0)OMe,0.50,0.54,0.47,0.07
S02Me,0.60,0.72,0.53,0.19
SS02Me,0.43,0.54,0.38,0.16
0S02Me,0.39,0.36,0.40,-0.04
SMe,0.15,0.00,0.23,-0.23
SSMe,0.22,0.13,0.27,-0.14
SeMe,0.10,0.00,0.16,-0.16
NHMe,-0.21,-0.70,0.03,-0.73
CH2NH2,-0.03,-0.11,0.04,-0.15
NHS02Me,0.20,0.03,0.28,-0.25
CH2NH3+,0.59,0.53,0.59,-0.06
N(COF)2,0.58,0.57,0.57,0.00
HgOCOCF3,0.50,0.52,0.48,0.04
cOCF3,0.63,0.80,0.54,0.26
scOCF3,0.48,0.46,0.48,-0.02
OCOCF3,0.56,0.46,0.58,-0.12
N(CF3)C=0(F),0.50,0.50,0.49,0.01
CF2OCF2-,0.81,0.81,0.77,0.04
CF2CF3,0.47,0.52,0.44,0.08
OCF2CF3,0.48,0.28,0.55,-0.27
S02CF2CF3,0.92,1.08,0.81,0.27
sCF2CF3,0.44,0.48,0.42,0.06
N(CF3)2,0.40,0.53,(0.35),0.18
S(CF3)=NSOjCF3,1.18,1.28,1.07,0.21
S0(CF3)=NS02CF3,1.23,1.40,1.09,0.31
N(S02CF3)2,0.61,0.83,0.50,0.33
P(CF3)2,0.60,0.69,0.55,0.14
p(CN)2,0.82,0.90,0.75,0.15
C=CH,0.21,0.23,0.22,0.01
OCFjCHFCl,0.35,0.28,0.38,-0.10
NHcOCF3,0.30,0.12,0.38,-0.26
ch=NSO2CF3,0.76,1.00,0.63,0.37
OCF2chf2,0.34,0.25,0.38,-0.13
sCF2chf2,0.38,0.47,0.35,0.12
disulfanyl imide等待,0.63,0.64,0.60,0.04
SC^CH,0.26,0.19,0.30,-0.11
SCH=CHCl,0.31,0.24,0.34,-0.10
SeCH=CHCl,0.28,0.26,0.30,-0.04
CH2CF3,0.12,0.09,0.15,-0.06
ch2sOCF3,0.25,0.24,0.27,-0.03
ch2SO2CF3,0.29,0.31,0.29,0.02
ch2sCF3,0.12,0.15,0.13,0.02
ch2CN,0.16,0.18,0.17,0.01
CH=CHNOrt,0.32,0.26,0.35,(-0.09)
ch2co2-,0.07,-0.16,0.19,-0.35
CH2SCN,0.12,0.14,0.14,0.00
ch==ch2,0.06,-0.04,0.13,-0.17
NHcoch2ci,0.17,-0.03,0.27,-0.30
N(Me)S02CF3,0.46,0.44,0.46,-0.02
HgOCOCH3,0.39,0.40,0.39,0.01
C(Me)(N02)2,0.54,0.61,0.50,0.11
oxiranyl,0.05,0.03,0.09,-0.06
och=ch2,0.21,-0.09,0.34,-0.43
COMe,0.38,0.50,0.33,0.17
SCOMe,0.39,0.44,0.37,0.07
OCOMe,0.39,0.31,0.42,-0.11
COOMe,0.37,0.45,0.34,0.11
2-thiacyclopropyl,0.04,0.01,0.08,-0.07
sch=ch2,0.26,0.20,0.29,-0.09,
SeCH=CH2,0.26,0.21,0.29,-0.08
1-aziridinyl,-0.07,-0.22,0.03,-0.25
2-aziridinyl,-0.06,-0.10,-0.01,-0.09
N-methyl-3-oxaziridinyl,0.09,0.12,0.10,0.02
NHCOOMe,-0.02,-0.17,0.07,-0.24
NHCOMe,0.21,0.00,0.31,-0.31
CONHMe,0.35,0.36,0.35,-0.01
CH=NOMe,0.37,0.30,0.40,0.10
CH2CONH2,0.06,0.07,0.08,-0.01
NHCSMe,0.24,0.12,0.30,-0.18
CSNHMe,0.30,0.34,0.29,0.05
ch=NNHcsNH2,0.45,0.40,0.46,-0.06
och2ch2o-,-0.12,-0.12,-0.08,-0.04
Et,-0.07,-0.15,0.00,-0.15
ch=NNHcoNHNH2,0.22,0.16,0.26,-0.10
och2ch3,0.10,-0.24,0.26,-0.50
CH(OH)Me,0.08,-0.07,0.16,-0.23
CHjOMe,0.08,0.01,0.13,-0.12
SOgEt,0.66,0.77,0.59,0.18
SEt,0.18,0.03,0.26,-0.23
P(Cl)NMes,0.38,0.56,0.31,0.25
